3," Asparagus","Asparagus is low in calories and a great source of nutrients like fiber, folate and vitamins A, C and K. It can also help with improving digestion and lowering blood pressure.","Baked, Roasted, Sauteed, Steamed, Boiled, Broiled","5 spears (93 g/3.3 oz)",20,0,0,230,4,2,2,2,10,15,2,"2020-11-02 16:26:57","2020-11-02 16:26:57"
4,"Bell Pepper","Bell Peppers are an excellent source of vitamins A, C, potassium, fiber, folate, and iron.","Raw, Grilled, Roasted, Stuffed, Stir Fry, Toppings, Carmelized, Sauteed","1 medium (148 g/5.3 oz)",25,0,40,220,6,2,4,1,4,190,4,"2020-11-02 16:26:57","2020-11-02 16:26:57"
5,"Iceberg Lettuce","Iceburg lettuce provides calcium, potassium, vitamin C, and folate. Because it has a high water content, it's a refreshing veggie choice.","Salads, Toppings, Garnish, Sandwiches","1/6 medium head (89 g/3.2 oz)",10,0,10,125,2,1,2,1,6,6,2,"2020-11-02 16:26:57","2020-11-02 16:26:57"
6,"Leaf Lettuce","Leaf lettuce is rich in antioxidants and vitamins K and A. It's been known to lower blood pressure, help with weight loss, and boost heart health too.","Seared, Sauteed, Wraps, Juiced, Smoothie, Topping, Grilled","1 1/2 cups shredded (85 g/3.0 oz)",15,0,35,170,2,1,1,1,130,6,4,"2020-11-02 16:26:57","2020-11-02 16:26:57"
7,Mushrooms,"Mushrooms are rich in B vitamins like riboflavin, niacin and pantothenic acid. The unique mushroom vitamin combination helps with heart health, red blood cell health, digestive systems, and healthy skin.","Sauteed, Grilled, Broiled, Roasted, Steamed, Topping, Chips","5 medium (84 g/3.0 oz)",20,0,15,300,3,1,0,3,0,2,2,"2020-11-02 16:26:57","2020-11-02 16:26:57"
8,Onion,"Onions contain antioxidants and compounds. Onions can help fight inflammation, lower cholesterol levels, decrease triglycerides, reduce high blood pressure, and protect against d clots.","Sauteed, Roasted, Dressings, Salsas, Salads","1 medium (148 g/5.3 oz)",45,0,5,190,11,3,9,1,0,20,4,"2020-11-02 16:26:57","2020-11-02 16:26:57"
9,Potato,"Potatoes are rich in vitamins, minerals and antioxidants. They've been known to offer a variety of health benefits like improving blood sugar control, and aiding with heart disease risk and improving immunity.","Boiled, Baked, Salads, Fries, Mashed, Chips, Gnocchi, Soups, Hash Browns, Gratin, Tots","1 medium (148 g/5.3 oz)",110,0,0,620,26,2,1,3,0,45,6,"2020-11-02 16:26:57","2020-11-02 16:26:57"
10,Radishes,"Radishes are a great source of vitamin C, which is an antioxidant that helps battle free radicals in your body, preventing cell damage, an unhealthy lifestyle, and environmental toxins.","Raw, Pickled, Toppings, Roasted, Shaven","7 radishes (85 g/3.0 oz)",10,0,55,190,3,1,2,0,0,30,2,"2020-11-02 16:26:57","2020-11-02 16:26:57"
11,"Summer Squash","Summer squash is rich in vitamins A, B6, and C, plus folate, magnesium, fiber, riboflavin, phosphorus, and potassium. It's nutrition packed!","Roasted, Bisque, Salads, Stuffed, Pasta Substitute, Fries","1/2 medium (98 g/3.5 oz)",20,0,0,260,4,2,2,1,6,30,2,"2020-11-02 16:26:57","2020-11-02 16:26:57"
12,"Sweet Corn","Corn has a high fiber content which can aid with digestion. It has has vitamin B, zinc, magnesium, copper, iron and manganese.","Sauteed, Topping, Cornbread, Dips, Sides, Roasted, Grilled, Boiled","kernels from 1 medium ear (90 g/3.2 oz)",90,3,0,250,18,2,5,4,2,10,2,"2020-11-02 16:26:57","2020-11-02 16:26:57"
13,Tomato,"Tomatoes are a great source of vitamin C, potassium, folate and vitamin K. They also have the antioxidant lycopene, which has been linked to reducing the risk of heart disease and cancer.","Raw, Stuffed, Grilled, Skewers, Pasta Sauce, Dry Spice Rub, Jam, Pan Seared, Pickled","1 medium (148 g/5.3 oz)",25,0,20,340,5,1,3,1,20,40,4,"2020-11-02 16:26:57","2020-11-02 16:26:57"
15,Broccoli,"Broccoli is a great source of fiber, protein, iron, potassium, calcium, selenium, magnesium, and vitamins A, C, E, K, and an array of B vitamins, like folic acid. ","Raw, Steamed, Roasted, Salads, Riced","1 medium stalk (148 g/5.3 oz)",45,1,80,460,8,3,2,4,6,220,6,"2020-11-02 16:26:57","2020-11-02 16:26:57"
16,Carrot,"Carrots are highly nutritious and a great source of beta carotene, fiber, vitamin K1, potassium and antioxidants. They have been linked to lower cholesterol levels and improved eye health.","Roasted, Pickled, Raw, Baked, Salads, Pureed, Juiced, Soups, Smoothies","1 carrot, 7in long, 1/4in diameter (78 g/2.8 oz)",30,0,60,250,7,2,5,1,110,10,2,"2020-11-02 16:26:57","2020-11-02 16:26:57"
17,Cauliflower,"Cauliflower is naturally high in fiber and B-vitamins, and has antioxidants and phytonutrients that can protect agaisnt cancer. It's fiber can also help with weight loss and digestion. Plus, it has choline, which is essential for learning and memory.","Raw, Roasted, Pizza Crust, Riced, Mashed, Pureed","1/6 medium head (99 g/3.5 oz)",25,0,30,270,5,2,2,2,0,100,2,"2020-11-02 16:26:57","2020-11-02 16:26:57"
18,Celery,"Celery is rich in vitamins and minerals with a low glycemic index, which means it has a slow and steady effect on blood sugar. It's also rich with vitamins A, K, and C, plus minerals like potassium and folate.","Raw, Soups, Stews, Stuffing, Salads","2 medium stalks (110 g/3.9 oz)",15,0,115,260,4,2,2,0,10,15,2,"2020-11-02 16:26:57","2020-11-02 16:26:57"
19,Cucumber,"Cucumbers are packed with vitamin K, B and C along with minerals like copper, phosphorus, potassium and magnesium.","Raw, Salads, Smoothies, Roll Ups, Dips, Dressings, Toppings, Garnish","1/3 medium (99 g/3.5 oz)",10,0,0,140,2,1,1,1,4,10,2,"2020-11-02 16:26:57","2020-11-02 16:26:57"
20,"Green Beans","Green beans are a great source of minerals, especially manganese. This cool mineral helps support metabolism, plus it has antioxidant abilities, and supports bone health and wound healing.","Roasted, Pickled, Marinated, Grilled, Fried, Braised, Salads","3/4 cup cut (83 g/3.0 oz)",20,0,0,200,5,3,2,1,4,10,2,"2020-11-02 16:26:57","2020-11-02 16:26:57"
21,"Green Cabbage","Green cabbage is exceptionally healthy with high levels of vitamins C and K. It may help lower your risk of certain diseases, and can help with digestion and inflammation.","Roasted, Stir Fry, Grilled","1/12 medium head (84 g/3.0 oz)",25,0,20,190,5,2,3,1,0,70,2,"2020-11-02 16:26:57","2020-11-02 16:26:57"
22,"Green Onion","Green onions are a great source of vitamin K, C and A.","Topping, Stir Fy, Salads, Sandwiches, Pancakes, Baking, Sauces","1/4 cup chopped (25 g/0.9 oz)",10,0,10,70,2,1,1,0,2,8,2,"2020-11-02 16:26:57","2020-11-02 16:26:57"

